Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
nature-s-sexy,linn-young,"tea, bergamot, orange","peony, jasmine, ylang-ylang","vanilla, white musk",vanilla,floral,fresh,powdery,citrus
tutu-woman,milton-lloyd,"orange, bergamot, lemon","cloves, jasmine, ylang-ylang, rose, coriander, pepper, lily-of-the-valley","woody notes, vanilla",citrus,warm spicy,white floral,woody,fresh spicy
le-temps-d-une-fete,nicolai-parfumeur-createur,"galbanum, opoponax","narcissus, jasmine","oakmoss, sandalwood, woody notes, patchouli",green,yellow floral,woody,mossy,balsamic
ambra,omnia-profumi,"orange, geranium, bergamot","incense, patchouli, lavender","amber, vanilla, opoponax, labdanum",amber,balsamic,citrus,fresh spicy,vanilla
twentyone-black,rue21,"pineapple, orange, green notes","african orange flower, lily-of-the-valley","coconut, woodsy notes, musk, amber",coconut,sweet,tropical,woody,lactonic
yoru-no-ume,parfum-satori,"cloves, apricot","lily-of-the-valley, rose, plum blossom","canadian balsam, sandalwood, cinnamon, woodsy notes, musk",warm spicy,woody,floral,white floral,fresh
uma-tarde-na-toscana,mahogany,"pear, bergamot","rose, lily-of-the-valley, patchouli","musk, sandalwood, amber",rose,musky,powdery,white floral,woody
night-jewel,jill-stuart,"tiare flower, green tea, neroli, bergamot","jasmine, jasmine sambac, white rose, may rose, turkish rose, lily-of-the-valley","vanille, peach, musk, woodsy notes",white floral,green,fresh,unknown,unknown
vanille-gourmande,florame,"carrot, sweet orange","cumin, fig leaf","vanilla, peru balsam, clove",vanilla,powdery,balsamic,soft spicy,amber
kiss-me-now,eudora,"red fruits, red apple, cherry, passionfruit","sugar, peony, jasmine, litchi, water lily","cotton candy, musk, sandalwood, cedar",fruity,sweet,fresh,cherry,floral
le-parfum-edition-feuilles-d-or,elie-saab,"tunisian orange blossom, bergamot","ylang-ylang, jasmine sambac","patchouli, white honey, amberwood, virginian cedar, white musk, rose",white floral,woody,sweet,citrus,yellow floral
nuit-de-noel,caron,"ylang-ylang, tincture of rose, jasmine","sandalwood, oak moss","amber, musk",woody,yellow floral,mossy,powdery,rose
tabac-blond,caron,"carnation, leather, lime (linden) blossom","iris, ylang-ylang, vetyver","vanille, musk, patchouli, virginia cedar",floral,leather,woody,yellow floral,warm spicy
montaigne,caron,"jasmine, orangewood","narcissus, mimosa","benzoin, vanilla",yellow floral,vanilla,amber,citrus,white floral
azzaro-by-parfums-loris-azzaro-1975,azzaro,"fruity notes, gardenia, aldehydes","orris root, jasmine, rose, ylang-ylang","oakmoss, vetiver, styrax, benzoin, amber, patchouli",amber,woody,white floral,earthy,mossy
ch-under-the-sea,carolina-herrera,"pomelo, seaweed, rose","coconut, ylang-ylang","vanilla, sandalwood",sweet,citrus,vanilla,coconut,woody
les-creations-de-monsieur-dior-forever-and-ever,dior,freesia,jasmine,tincture of rose,floral,rose,white floral,unknown,unknown
miss-dior-brume-soyeuse-pour-le-corps,dior,mandarin orange,"rose, jasmine","musk, patchouli",rose,citrus,musky,white floral,floral
miss-dior-esprit-de-parfum,dior,galbanum,jasmine sambac,patchouli,green,patchouli,white floral,aromatic,balsamic
impossible-bouquet-do-son,diptyque,"iris, orange blossom, rose","tuberose, pink pepper","musk, benzoin",white floral,iris,powdery,tuberose,musky
sensi,giorgio-armani,"black locust, lime","almond, wheat, jasmine","benzoin, brazilian rosewood",white floral,sweet,almond,nutty,amber
harvest-2008-organza-fleur-d-oranger,givenchy,"honeysuckle, neroli, petitgrain","african orange flower, spices",vanilla,white floral,vanilla,citrus,sweet,warm spicy
l-heure-bleue-eau-de-toilette,guerlain,"anise, bergamot","carnation, tuberose, neroli, rose","iris, violet, benzoin, tonka bean, vanilla",powdery,floral,violet,vanilla,iris
trulytimeless,kate-spade,"cotton flower, aldehydes",neroli,"white musk, cedar",powdery,musky,fresh,floral,aldehydic
the-wedding-silk-santal-36,kayali-fragrances,"champagne, freesia, black currant","nectarine, praline, jasmine, orange blossom, may rose","vanilla, sugar, sandalwood, musk, amberwood, oakmoss",sweet,vanilla,powdery,woody,musky
tresor-original,lancome,"rose, lilac, lily-of-the-valley","peach, apricot, spices, orange blossom","amber, resins, sandalwood, cedar, musk, green leaves",amber,woody,powdery,fruity,warm spicy
illusions-noires-le-premier-parfum-eau-de-minuit,lolita-lempicka,"iris, myrrh","licorice, jasmine sambac","benzoin, vanilla",amber,soft spicy,vanilla,sweet,balsamic
eau-de-minuit-midnight-fragrance,lolita-lempicka,"myrrh, anise, ivy","violet, iris, jasmine","vanilla, resin, tonka bean",amber,vanilla,powdery,violet,sweet
ilia-completa,natura,"bergamot, pataqueira, mandarin orange, pink pepper","jasmine, peony, rose, orange blossom, paramela","musk, patchouli, cedar, vanilla, amber, sandalwood",floral,citrus,white floral,rose,musky
ilia-plena,natura,pink rose,pataqueira,musk,rose,musky,floral,powdery,unknown
les-belles-de-ricci-liberty-fizz,nina-ricci,"tomato leaf, black currant, orange, basil, mint","tomato flower, freesia, magnolia, wisteria","tomato, raspberry, fig leaf",green,aromatic,fresh spicy,fruity,floral
la-nuit,paco-rabanne,"artemisia, basil, tangerine, bergamot, amalfi lemon","white honey, rose, jasmine, peach, pepper","civetta, oak moss, leather, patchouli, woodsy notes, virginia cedar",animalic,woody,musky,mossy,fresh spicy
changing-constance,penhaligon-s,"cardamom, pimento","caramel, salt","vanilla, tobacco, cashmeran",caramel,warm spicy,vanilla,sweet,powdery
bergdorf-pour-femme,roja-dove,bergamot,"gardenia, heliotrope, tuberose, jasmine, orange blossom, rose, violet, lily-of-the-valley","oakmoss, musk, sandalwood, vanilla, cedar, pink pepper, benzoin, styrax, castoreum, patchouli, olibanum",white floral,powdery,woody,vanilla,animalic
body-by-victoria-2002,victoria-s-secret,"freesia, mimosa, mandarin orange","cucumber, peony, hiacynth, lily","white musk, sandalwood",floral,musky,powdery,green,ozonic
bombshell-celebration,victoria-s-secret,champagne,pink peony,"woodsy notes, spruce, sandalwood",woody,floral,fresh,champagne,rose
bombshell-diamonds-2013,victoria-s-secret,"grapefruit, apple, pear, lemon","lily-of-the-valley, hyacinth, vanilla orchid, rose, jasmine, lotus, marigold","cedar, musk, sandalwood, white woods",floral,citrus,fresh,white floral,fruity
lira,xerjoff,"blood orange, bergamot, lavender","cinnamon, licorice, jasmine","caramel, vanille, musk",citrus,caramel,vanilla,sweet,cinnamon
black-opium-le-parfum,yves-saint-laurent,"cinnamon, pear, green mandarin","solar notes, jasmine sambac, orange blossom","madagascar vanilla, bourbon vanilla, vanilla absolute, coffee, patchouli, vanilla orchid",vanilla,warm spicy,coffee,sweet,white floral
golden-decade,zara,mandarin orange,"orange blossom, jasmine, lavender",vanilla,white floral,vanilla,citrus,lavender,sweet
nocturnal-life,zara,bergamot,"cinnamon, juniper berries",incense,cinnamon,warm spicy,amber,smoky,aromatic
sun-original,oriflame,peach,"freesia, rose",musk,floral,fruity,sweet,powdery,rose
imprevu,coty,"aldehydes, bitter orange, bergamot, coriander, neroli","orris, rose, ylang-ylang, carnation, jasmine","oak moss, leather, woodsy notes, vetiver, sandalwood, ambergris, benzoin, musk, patchouli",woody,citrus,floral,earthy,mossy
the-des-vignes,caudalie,"tea, african orange flower, jasmine","grapes, neroli, ginger","musk, woodsy notes, honey",white floral,musky,sweet,citrus,fruity
cristobal,balenciaga,"fig leaf, carnation, bergamot","peony, freesia, jasmine","vanilla, sandalwood, patchouli",woody,floral,vanilla,fresh,warm spicy
my-queen-deluxe-edition,alexander-mcqueen,"violet, almond","heliotrope, white flowers, white musk, orange blossom","iris, vanilla, cedar, vetiver, patchouli",powdery,violet,vanilla,woody,almond
tentations,paloma-picasso,"peach, vodka, pepper, orange blossom, bergamot","spices, carnation, cinnamon, rose, orchid, jasmine","benzoin, myrrh, tonka bean, incense, sandalwood, musk, cedar, labdanum",warm spicy,amber,floral,sweet,woody
n0-17-flor-sensual,victorio-lucchino,"black currant, bergamot, raspberry, mandarin orange","rose, jasmine, orange blossom, iris","patchouli, benzoin, praline, vanilla",white floral,fruity,sweet,citrus,rose
diamond-dust-edition,agent-provocateur,"indian saffron, magnolia","moroccan rose, vetiver, gardenia, egyptian jasmine","musk, cedar, amber",rose,woody,floral,warm spicy,musky
kalimantan,chantecaille,"thyme, rosemary, bergamot","incense, french labdanum, patchouli","vanille, benzoin, styrax, sandalwood, agarwood (oud), virginia cedar",amber,woody,balsamic,warm spicy,aromatic
lamsat-harir,arabiyat,"grapes, black currant","tuberose, jasmine, heliotrope","musk, patchouli, cedar",fruity,white floral,tuberose,powdery,woody
orquidea-negra,daniel-josier,"truffle, black currant, ylang-ylang, bergamot","orchid, fruity notes, woody notes","dark chocolate, vanilla, patchouli, incense, vetiver",earthy,woody,fruity,sweet,warm spicy
hanae-mori-n04,hanae-mori,"black currant, african orange flower, bergamot, marigold","toffee, strawberry, tonka bean, peach, rose","vanille, patchouli, benzoin, sage",sweet,fruity,vanilla,aromatic,amber
venezia,laura-biagiotti,"dried plum, peach, indian mango, black currant, osmanthus, geranium, green notes, bergamot","amber, cinnamon, ylang-ylang, carnation, iris, rose, jasmine, cedar","vanilla, benzoin, sandalwood, tonka bean, civet, musk",fruity,amber,sweet,warm spicy,vanilla
eau-de-lotus-bleu,roger-gallet,"orange, bergamot, neroli, mandarin orange","blue lotus, orange blossom, rose","sandalwood, patchouli, vanilla, musk, incense",citrus,white floral,floral,woody,fresh spicy
amande-persane-eau-fraiche-parfumee,roger-gallet,"bergamot, mandarin orange","almond, iris","tonka bean, virginia cedar",almond,nutty,sweet,fruity,citrus
sheer-stella-2007,stella-mccartney,"rose, green apple, amalfi lemon","rose, peony",amber,rose,floral,fresh,fruity,unknown
indian-gardenia,the-body-shop,"neroli, rose, orange","gardenia, mimosa, jasmine, champaca, lily-of-the-valley, carnation","sandalwood, amber, cloves",white floral,yellow floral,floral,powdery,lactonic
jasmin-vert,miller-harris,"mandarin orange, grapefruit, pear","narcissus, jasmine, cassia","violet leaf, hay, sandalwood",green,citrus,fruity,white floral,aromatic
sunkissed-dahlia,skylar,"apple, mamey, red currant","dahlia, jasmine, rose","custard, vanilla, amber, sandalwood",fruity,sweet,vanilla,fresh,amber
b-u-tease-blue,sarantis,"bergamot, mandarin orange","honey, peach, black currant, apricot, blueberry, blackberry, mango","patchouli, vanilla, dark chocolate, caramel, custard, almond, amber, musk",sweet,fruity,patchouli,citrus,warm spicy
onyx,sage-machado,coconut,"oak moss, tobacco","musk, vanille, amber",coconut,musky,vanilla,sweet,powdery
puma-woman,puma,"green tea, apple blossom, pink grapefruit","lily-of-the-valley, jasmine, white violet","oakmoss, cedar, sandalwood",woody,white floral,fresh,floral,powdery
pure-grace-summer,philosophy,"coconut nectar, citron, bergamot","cacao, rose","vanilla, musk, sandalwood",citrus,coconut,vanilla,powdery,sweet
fantasque,louis-feraud,"aldehydes, palisander rosewood, green notes, citruses, pear, spices","jasmine, orris root, ylang-ylang, rose, lily-of-the-valley","oak moss, virginia cedar, sandalwood, musk, vetiver, amber, patchouli",woody,earthy,fresh,powdery,green
rose-millesimee,jovoy-paris,"apple, spicy notes",rose de mai,musk,rose,floral,unknown,unknown,unknown
ghost-summer-moon,ghost,"cassia, apple, peach, lemon, mandarin orange, bergamot","lotus, freesia, rose, marigold","musk, sandalwood",fruity,floral,citrus,aromatic,green
la-piel-tamaras-egipcias,eudora,"peach, nectarine, strawberry","orchid, cardamom, orange blossom","vanilla, praline, musk, sandalwood",sweet,fruity,powdery,musky,vanilla
faberge-cavale,brut-parfums-prestige,"green notes, galbanum, lemon verbena, bergamot, lemon, orange","herbal notes, jasmine","patchouli, vetiver, musk, sandalwood, oakmoss, cedar, leather, tonka bean, amber, vanilla",green,woody,citrus,aromatic,earthy
sweet-like-candy-limited-edition,ariana-grande,"red berries, pear, bergamot","frangipani, honeysuckle, jasmine sambac","marshmallow, whipped cream, black currant, cashmere wood, amber, musk",fruity,sweet,floral,white floral,powdery
casbah,avon,"jasmine, bergamot, grapefruit","iris, nutmeg, clove, orchid, rose","sandalwood, musk",powdery,woody,warm spicy,floral,iris
sensus-absolute,avon,agarwood (oud),black pepper,leather,oud,fresh spicy,leather,animalic,unknown
agave-papaya-sunset,bath-body-works,"agave, papaya, blackberry, pomegranate, bergamot","strawberry leaf, violet, jasmine, freesia","caramel, musk, coconut, woodsy notes",sweet,tropical,fruity,caramel,musky
escada-collection-2001,escada,"coca-cola, mandarin orange","jasmine, tuberose","tonka bean, sandalwood, amber",coca-cola,warm spicy,amber,citrus,woody
bronze-goddess-eau-fraiche-skinscent-2016,estee-lauder,"sicilian bergamot, orange, mandarin orange, lemon","tiare flower, orange blossom, lavender, jasmine, magnolia","coconut milk, vanilla, sandalwood, myrhh, amber, vetiver",white floral,citrus,sweet,coconut,vanilla
givenchy-iii,givenchy,"galbanum, aldehydes, gardenia, bergamot, peach, mandarin orange","hiacynth, orris root, narcissus, jasmine, carnation, lily-of-the-valley, rose","oakmoss, vetiver, sandalwood, patchouli, myrrh, amber, coconut",green,earthy,woody,aromatic,mossy
givenchy-harvest-2007-organza-jasmine,givenchy,"neroli, apricot, honeysuckle, petitgrain",jasmine,"nutmeg, vanilla",white floral,fresh spicy,vanilla,citrus,floral
le-bouquet-de-la-mariee,guerlain,"angelica, citruses, pink pepper","orange blossom, candied almond, rose","vanilla, patchouli, white musk, incense",musky,white floral,almond,sweet,vanilla
elixir-charnel-oriental-brulant,guerlain,tangerine,almond,"styrax, tonka bean, vanilla",amber,vanilla,sweet,almond,balsamic
l-instant-magic-eau-de-parfum,guerlain,bergamot,"white musk, rose","almond tree, tonka bean, sandalwood, cedar",musky,woody,powdery,nutty,rose
liu,guerlain,"aldehydes, neroli, bergamot","jasmine, rose, rosemary","iris, vanilla, amber, woody notes",aldehydic,fresh,white floral,woody,iris
shalimar-eau-de-parfum-2009-limited-editions,guerlain,bergamot,"iris, jasmine, rose",vanilla,citrus,vanilla,iris,powdery,violet
le-feu-d-issey,issey-miyake,"coriander leaf, mahogany, bulgarian rose, anise, bergamot, coconut","milk, sichuan pepper, caramel, rose, golden lily, jasmine","guaiac wood, sandalwood, white amber, vanilla, musk, cedar",woody,aromatic,soft spicy,lactonic,fresh spicy
classique-essence-de-parfum,jean-paul-gaultier,"tangerine, aldehydes, ginger","orange blossom, jasmine sambac","whipped cream, vanilla, benzoin, cashmere wood, woody notes",vanilla,white floral,sweet,citrus,warm spicy
angel-etoile-seduisante,mugler,"mandarin orange, bergamot","passionfruit, apricot, peach","patchouli, mexican chocolate, caramel, vanille",sweet,fruity,citrus,patchouli,warm spicy
narciso-rodriguez-for-her-hair-mist,narciso-rodriguez,rose,"powdery notes, iris",musk,powdery,musky,iris,rose,unknown
biografia-contos-de-verao,natura,"citruses, green notes, water notes, red fruits","lily-of-the-valley, jasmine, violet, ylang-ylang","musk, cedar, sandalwood, amber, guaiac wood",fresh,woody,white floral,green,powdery
l-air-du-temps-x-alix-d-reynis-eau-de-parfum,nina-ricci,"aldehydes, neroli, carnation","heliotrope, jasmine sambac, ylang-ylang","white musk, benzoin, vanilla",powdery,musky,aldehydic,white floral,floral
alchimie,rochas,"peach, plum, lilac, pear, black currant, cassia, hiacynth, mandarin orange, grapefruit, bergamot, cucumber","black locust, wisteria, coconut, heliotrope, jasmine, rose, lily-of-the-valley","caramel, vanilla, tonka bean, sandalwood, amber, licorice, musk",fruity,sweet,vanilla,floral,powdery
gem-eau-de-toilette,van-cleef-arpels,"plum, peach, brazilian rosewood, cardamom, coriander, cypress, myrtle","ylang-ylang, carnation, jasmine, tuberose, cloves, rose, iris, orris root","civet, oakmoss, amber, patchouli, vanilla, vetiver",woody,warm spicy,aromatic,fruity,sweet
first-edition-blanche,van-cleef-arpels,"aldehydes, bergamot, cassis, mandarin orange","jasmine, white rose","white musk, vanilla",citrus,aldehydic,white floral,musky,rose
first-rosee-d-or,van-cleef-arpels,"aldehydes, bergamot","white rose, jasmine, ylang-ylang","musk, white woods, vanilla",musky,rose,woody,aldehydic,powdery
paris-premieres-roses-2011,yves-saint-laurent,"rose, lily-of-the-valley","violet, peony, african orange flower","musk, sandalwood",rose,floral,white floral,powdery,fresh
pure-secret,phytoderm,"melon, apple","peach, jasmine","caramel, cedar",fruity,fresh,ozonic,aquatic,sweet
gardenia,granado,"sicilian lemon, cassis, cardamom","white tea, white rose, gardenia","musk, frankincense, amber",green,aromatic,citrus,rose,white floral
robe-d-un-soir,carven,"aldehydes, neroli, peach, mandarin orange, bergamot","ylang-ylang, lily, jasmine, orris root, rose, carnation","vetyver, virginia cedar, benzoin, sandalwood, vanille, amber",woody,white floral,floral,powdery,citrus
balenciaga-paris-l-edition-reflets,balenciaga,"violet leaf, pink pepper, black pepper",violet,"cedar, vetiver, patchouli",woody,violet,powdery,ozonic,aquatic
bijou,alfred-sung,"chinese plum, raspberry, lemon","gardenia, honeysuckle, jasmine","vanilla, coconut nectar, tonka bean",fruity,sweet,white floral,vanilla,coconut
zadig,emilio-pucci,"aldehydes, coriander, bergamot, peach, orange","honey, ylang-ylang, cloves, jasmine, orris root","civet, tolu balsam, amber, musk, benzoin, vanilla, cinnamon, vetiver, patchouli",amber,powdery,warm spicy,sweet,musky
lavanda-rosa-classic,giovanna-baby,"lavender, fruity notes","jasmine, green notes, lily-of-the-valley","musk, sandalowood, woody notes",lavender,white floral,musky,woody,aromatic
alix,gres,"aldehydes, bergamot","galbanum, floral notes, spicy notes","oakmoss, labdanum, amber, patchouli, sandalwood, cedar, musk",woody,amber,green,warm spicy,mossy
rose-des-champs,l-occitane-en-provence,"grass, lemon","wild rose, wildflowers, pear","tonka bean, cedar",fresh,rose,floral,green,citrus
pear-vanilla,nuancielo,pear,vetiver,vanilla,vanilla,sweet,fruity,powdery,aquatic
the-spirit-of-moonflower,the-body-shop,"melon, gardenia, coriander","cyclamen, lime (linden) blossom, lily-of-the-valley","jasmine, rose",white floral,floral,fresh,aquatic,yellow floral
double-nature-sexy,jafra,"tangerine, pomegranate, lime","mango, cherry, guava","sugar cane, musk, precious woods",sweet,fruity,citrus,tropical,woody
gardenia-blossom,jafra,green apple,gardenia,amber,white floral,amber,fruity,lactonic,green
jeanne-lanvin-my-sin,lanvin,"aldehydes, neroli, clary sage, bergamot, amalfi lemon","jasmine, orris root, narcissus, ylang-ylang, rose, clove, lilac, lily-of-the-valley","civetta, musk, styrax, woodsy notes, tolu balsam, vetyver, vanille",musky,powdery,white floral,fresh,woody
scandal,lanvin,"clary sage, neroli, bergamot, amalfi lemon, mandarin orange","leather, iris, ylang-ylang, rose","oak moss, incense, benzoin, vetiver, vanille",citrus,leather,aromatic,earthy,woody
celebrate-life,we-pink,"apple, pink pepper, freesia","jasmine, lily of the valley, rose","musk, praline, suede, woody notes",musky,sweet,white floral,floral,fresh
la-reine-soleil,sabe-masson,"bergamot, lemon","honey, ylang-ylang, heliotrope","vanilla, musk, patchouli",sweet,honey,yellow floral,powdery,vanilla
3600-collection-rose,perry-ellis,"pear, sea notes, bergamot","pink peony, orange blossom, green notes, jasmine, white violet","musk, geranium, amber",floral,white floral,fresh,aromatic,citrus
cassilia,pacoma,"raspberry, black currant, peach, apricot, tangerine, bergamot","freesia, ylang-ylang, rose, jasmine, geranium","orris root, oakmoss, tonka bean, vetiver, benzoin, musk, sandalwood",fruity,sweet,floral,woody,powdery
mark-bohista,mark,"ginger, lily",orchid,"mexican chocolate, musk",warm spicy,chocolate,sweet,musky,white floral
galimar,galimard,"amalfi lemon, orange","cinnamon, nutmeg, iris, jasmine, rose","vanille, patchouli, musk",citrus,warm spicy,cinnamon,fresh spicy,vanilla
1905,detaille,"galbanum, violet, cassis","jasmine, iris, rose, ylang-ylang, orange blossom","oak moss, vetyver, sandalwood",woody,green,earthy,aromatic,powdery
dianoche-day,daisy-fuentes,"citruses, jasmine, mandarin orange, coriander, basil",tuberose,"tonka bean, vanille, oak moss",citrus,white floral,vanilla,aromatic,tuberose
hello-hello-by-nah-cardoso,ciclo-cosmeticos,"dried fruits, tangerine, orange","honey, jasmine, orange blossom, tuberose, rose","vanilla, hazelnut, musk, sandalwood, cashmeran",vanilla,sweet,woody,powdery,nutty
iranzol-perfume-oil,bruno-acampora,"sandalwood, musk","galbanum, amber, jasmine, rose","patchouli, vanilla",woody,powdery,musky,patchouli,warm spicy
acucena,avatim,"pear, cassis","jasmine, narcissus, orange blossom","hazelnut, musk, sandalwood",white floral,woody,nutty,sweet,fruity
constellation,paloma-picasso,"neroli, citruses, bergamot","rose, jasmine, ylang-ylang, coriander","oak moss, patchouli, vetiver, amber",woody,rose,earthy,white floral,aromatic
natori,avon,"freesia, violet","orris, rose, geranium","benzoin, tonka bean, sandalwood",powdery,floral,rose,amber,iris
almond-vanilla,bath-body-works,"hazelnut, pink pepper, lemon, orange","sweet almond, vanilla orchid, cinnamon, mirabella plum","vanilla, musk, cashmere wood",nutty,sweet,almond,vanilla,musky
212-vip-rose-extra,carolina-herrera,"litchi, cherry liqueur, mandarin orange","bitter almond, orris root, peony","madagascar vanilla, tonka bean, woody notes",vanilla,fruity,almond,sweet,nutty
ch-beauties,carolina-herrera,"pear, green mandarin","jasmine, neroli, peony","vanilla, amber, sandalwood",citrus,fruity,white floral,fresh,sweet
la-panthere-etincelante,cartier,"dried fruits, strawberry, rhubarb, bergamot, anise","gardenia, rose, pear, orange blossom, ylang-ylang","musk, patchouli, oakmoss, leather",fruity,sweet,white floral,woody,musky
chanel-no-5-eau-premiere-2015,chanel,"aldehydes, ylang-ylang, neroli","jasmine, rose","vanilla, sandalwood, vetiver",aldehydic,woody,fresh,yellow floral,white floral
happy-diamonds,chopard,"orange blossom, galbanum, lemon, bergamot, fruity notes","carnation, ylang-ylang, heliotrope, iris, tuberose, jasmine, sandalwood, rose","civet, ambergris, benzoin, tonka bean, vetiver, vanilla, cedar",amber,animalic,white floral,powdery,vanilla
diorama,dior,"plum, peach, melon, bergamot","jasmine, gardenia, tuberose, rose, cinnamon, violet, caraway, pepper, nutmeg, lily-of-the-valley, clove","oak moss, castoreum, civetta, leather, vetiver, sandalwood, musk, virginia cedar",white floral,woody,fruity,animalic,fresh spicy
j-adore-l-or-2017,dior,jasmine,"ylang-ylang, tuberose, may rose","tahitian vanilla, tonka bean",vanilla,white floral,yellow floral,sweet,tuberose
armani-code-couture-edition,giorgio-armani,"blood orange, pear, petitgrain, ginger, bergamot","orange blossom, mirabilis, osmanthus","honey, leather, vanilla, tonka bean, cedar",citrus,sweet,floral,vanilla,fruity
l-interdit-edition-couture-2020,givenchy,"pear, bergamot","tuberose, orange blossom, jasmine","patchouli, ambroxan, vanilla, vetiver",white floral,tuberose,citrus,patchouli,sweet
philtre-d-amour,guerlain,"lemon verbena, amalfi lemon, bergamot","petitgrain, neroli, jasmine, myrhh",patchouli,citrus,aromatic,white floral,fresh spicy,unknown
shalimar-edition-charms-eau-de-parfum,guerlain,"lemon, citruses, bergamot, cedar, mandarin orange","patchouli, jasmine, iris, vetiver, rose","vanilla, leather, incense, opoponax, sandalwood, civet, musk",citrus,woody,powdery,amber,balsamic
shalimar-talisman-byzantin,guerlain,"citruses, bergamot, lemon, mandarin orange","iris, jasmine, vetiver, rose, patchouli","leather, vanilla, opoponax, sandalwood, civet, musk, tonka bean",citrus,woody,powdery,musky,vanilla
classique-x-love-actually,jean-paul-gaultier,"bergamot, mandarin orange","orange blossom, peony","vanilla, woodsy notes, iris",citrus,white floral,woody,floral,vanilla
flower-by-kenzo-l-elixir,kenzo,"raspberry, mandarin orange","bulgarian rose, orange blossom","praline, bourbon vanilla, powdery notes",sweet,powdery,fruity,vanilla,rose
star-dust-midnight-fragrance,lolita-lempicka,"anise, myrrh, ivy","licorice, violet, iris","vanilla, benzoin, jasmine",soft spicy,amber,anis,powdery,violet
daisy-silver-edition,marc-jacobs,"violet leaf, blood grapefruit, strawberry","jasmine, violet, gardenia","musk, white woods, vanilla",white floral,ozonic,powdery,aquatic,musky
decadence-one-eight-k-edition,marc-jacobs,"plum, saffron, iris","orris root, bulgarian rose, jasmine sambac","papyrus, vetiver, liquidambar",woody,fruity,iris,earthy,warm spicy
biografia-encontros,natura,"pink pepper, bergamot","rose, lily-of-the-valley, jasmine","priprioca, patchouli, amber",rose,white floral,floral,patchouli,soft spicy
fille-d-eve,nina-ricci,"bergamot, lemon, peach","cloves, rose, plum, labdanum, jasmine, honeysuckle","leather, musk, oak, patchouli, sandalwood, oakmoss, incense, balsamic vinegar, amber",woody,warm spicy,amber,fruity,citrus
les-belles-de-ricci,nina-ricci,"tomato leaf, basil, mint, orange","tomato flower, cyclamen, magnolia, freesia","raspberry, fig leaf",green,aromatic,fresh spicy,fruity,sweet
l-air-du-temps-a-paris-chez-antoinette-poisson-edition-limitee-2022,nina-ricci,"mandarin orange, petitgrain, bergamot","orange blossom, mimosa","honey, tonka bean, white musk",citrus,sweet,white floral,powdery,honey
irresistible-vibration-beachfront-irresistivel-vibracao-a-beira-mar,o-boticario,"acai berry, cherry, red berries","damask rose, white flowers, lily-of-the-valley","sugar, amber, sandalwood",fruity,sweet,cherry,rose,amber
while-in-love-forever,rasasi,"bellflower, sicilian lemon, green apple","jasmine, bamboo, white rose","musk, amber, cedar",white floral,floral,woody,musky,citrus
v-s-versus,versace,"lime, orange, mandarin orange","cinnamon, carnation, jasmine, lily-of-the-valley","cedar, musk",citrus,warm spicy,cinnamon,woody,white floral
no-2-bergamot-and-leather-spritz,zara,"bergamot, lavender","leather, iris","agarwood (oud), amber",leather,oud,animalic,iris,amber
yuzu-tea,zara,"yuzu, mandarin orange, star anise","mate, cardamom, neroli","guaiac wood, musk",citrus,aromatic,fresh spicy,warm spicy,green
myth-of-saso,shiseido,"fruity notes, aldehydes, citruses","ylang-ylang, floral notes, osmanthus, rose, jasmine","castoreum, benzoin, sandalwood",fruity,sweet,yellow floral,woody,floral
zen-gold-elixir,shiseido,"incense, blue rose","saffron, jasmine","cedar, honey",warm spicy,amber,smoky,rose,woody
baltais-sapnis,dzintars,"lily, lily-of-the-valley, lemon","peony, tuberose, rose, jasmine","sandalwood, amber, white musk",white floral,woody,powdery,fresh,floral
kristine-kristina,dzintars,"lily-of-the-valley, hyacinth, bitter orange","jasmine, violet, rose, petitgrain","pine tree, white musk, galbanum, sandalwood",white floral,green,floral,fresh,woody
chanson-d-eau-vanilla,coty,"pear blossom, apple, iris","cotton candy, water lily, jasmine","vanilla, amber, musk",vanilla,powdery,sweet,floral,amber
exalte-by-funmi-monet,bella-aura,"lemon, pink pepper","turkish rose, orange blossom, osmanthus, jasmine","vanilla, amber, benzoin, sandalwood, musk",rose,citrus,vanilla,floral,amber
heaven-sent,helena-rubinstein,"orange, neroli, mint, amalfi lemon, bergamot","rose, carnation, ylang-ylang, lily-of-the-valley","oak moss, musk, amyris, vetiver, sandalwood, benzoin, patchouli",woody,aromatic,citrus,warm spicy,earthy
hanae-mori-n01,hanae-mori,"black currant, mulberry, bergamot, grapefruit, green notes","raspberry, blackberry, jasmine","vanilla, amber, white musk, sandalwood",fruity,sweet,vanilla,citrus,woody
taariikh-oil,junaid-perfumes,"gardenia, rose",vanilla,white musk,vanilla,white floral,rose,powdery,musky
khloe-sapphire-diamond,kkw-fragrance,"blueberry, italian mandarin, sea notes","panettone, wisteria, bulgarian rose","whipped cream, vanilla, tonka bean, sandalwood",vanilla,sweet,fruity,citrus,marine
immortelle-de-corse,l-occitane-en-provence,immortelle,"white honey, tea, rose","benzoin, iris, musk",sweet,honey,herbal,warm spicy,amber
fleur-d-oranger,le-couvent-maison-de-parfum,"mandarin orange, orange, fruity notes, raspberry","african orange flower, petitgrain, jasmine","vanilla, musk, woodsy notes",citrus,white floral,sweet,vanilla,fruity
